Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-01T02:08:24Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Brad Richardson,Winner,Arizona Coyotes,Ryan O'Reilly,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:09:13Z,1,00:11,19:49,Hit,n/a,72.0,-40.0,Christian Fischer,Hitter,Arizona Coyotes,Colton Parayko,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:09:30Z,1,00:12,19:48,Hit,n/a,38.0,-39.0,Christian Fischer,Hitter,Arizona Coyotes,Colton Parayko,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:09:50Z,1,00:14,19:46,Faceoff,n/a,20.0,-22.0,Brayden Schenn,Winner,St. Louis Blues,Christian Dvorak,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:09:58Z,1,00:32,19:28,Shot,Slap Shot,54.0,-23.0,Conor Garland,Shooter,Arizona Coyotes,Jake Allen,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:10:25Z,1,00:58,19:02,Shot,Wrist Shot,52.0,15.0,Lawson Crouse,Shooter,Arizona Coyotes,Jake Allen,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:10:53Z,1,01:02,18:58,Faceoff,n/a,69.0,-22.0,Ryan O'Reilly,Winner,St. Louis Blues,Derek Stepan,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:11:09Z,1,01:17,18:43,Hit,n/a,98.0,-12.0,Lawson Crouse,Hitter,Arizona Coyotes,Oskar Sundqvist,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:12:01Z,1,02:08,17:52,Hit,n/a,-97.0,16.0,Ilya Lyubushkin,Hitter,Arizona Coyotes,Robert Thomas,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:12:22Z,1,02:27,17:33,Blocked Shot,n/a,-72.0,13.0,Ilya Lyubushkin,Blocker,Arizona Coyotes,Tyler Bozak,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:12:45Z,1,02:28,17:32,Faceoff,n/a,-69.0,22.0,Jacob de la Rose,Winner,St. Louis Blues,Christian Dvorak,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:13:18Z,1,02:56,17:04,Hit,n/a,-58.0,-40.0,Oliver Ekman-Larsson,Hitter,Arizona Coyotes,Mackenzie MacEachern,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:13:45Z,1,03:23,16:37,Takeaway,n/a,-7.0,41.0,Christian Fischer,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:14:24Z,1,04:01,15:59,Hit,n/a,13.0,41.0,Jaden Schwartz,Hitter,St. Louis Blues,Jakob Chychrun,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:14:35Z,1,04:14,15:46,Takeaway,n/a,94.0,-23.0,Derek Stepan,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:14:57Z,1,04:35,15:25,Shot,Slap Shot,-71.0,-32.0,Oskar Sundqvist,Shooter,St. Louis Blues,Antti Raanta,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:15:04Z,1,04:42,15:18,Blocked Shot,n/a,-71.0,-1.0,Derek Stepan,Blocker,Arizona Coyotes,Ryan O'Reilly,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:15:11Z,1,04:48,15:12,Missed Shot,n/a,-63.0,24.0,Alex Pietrangelo,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:15:16Z,1,04:55,15:05,Takeaway,n/a,-38.0,-31.0,Ilya Lyubushkin,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:15:26Z,1,04:58,15:02,Giveaway,n/a,-21.0,26.0,Lawson Crouse,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:16:42Z,1,05:47,14:13,Faceoff,n/a,-69.0,-22.0,Carl Soderberg,Winner,Arizona Coyotes,Brayden Schenn,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:16:54Z,1,06:04,13:56,Shot,Wrist Shot,-76.0,-17.0,Brayden Schenn,Shooter,St. Louis Blues,Antti Raanta,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:17:22Z,1,06:08,13:52,Penalty,Hi-sticking,-77.0,-33.0,Jordan Kyrou,PenaltyOn,St. Louis Blues,Oliver Ekman-Larsson,DrewBy,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:19:07Z,1,06:08,13:52,Faceoff,n/a,69.0,22.0,Christian Dvorak,Winner,Arizona Coyotes,Ryan O'Reilly,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:19:22Z,1,06:27,13:33,Missed Shot,n/a,74.0,-5.0,Clayton Keller,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:19:53Z,1,06:56,13:04,Blocked Shot,n/a,61.0,6.0,Ryan O'Reilly,Blocker,St. Louis Blues,Clayton Keller,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:20:14Z,1,07:20,12:40,Missed Shot,n/a,75.0,4.0,Christian Dvorak,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:20:23Z,1,07:28,12:32,Shot,Slap Shot,54.0,-31.0,Taylor Hall,Shooter,Arizona Coyotes,Jake Allen,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:20:29Z,1,07:34,12:26,Hit,n/a,58.0,-41.0,Robert Bortuzzo,Hitter,St. Louis Blues,Taylor Hall,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:20:55Z,1,07:52,12:08,Faceoff,n/a,20.0,-22.0,Carl Soderberg,Winner,Arizona Coyotes,Ivan Barbashev,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:21:36Z,1,08:05,11:55,Goal,Slap Shot,37.0,-26.0,Conor Garland,Scorer,Arizona Coyotes,Alex Goligoski,Assist,Arizona Coyotes,Jakob Chychrun,Assist,Arizona Coyotes,Jake Allen,Goalie,St. Louis Blues
2020-01-01T02:22:36Z,1,08:05,11:55,Faceoff,n/a,0.0,0.0,Brad Richardson,Winner,Arizona Coyotes,Robert Thomas,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:22:58Z,1,08:22,11:38,Blocked Shot,n/a,-66.0,0.0,Oliver Ekman-Larsson,Blocker,Arizona Coyotes,Vince Dunn,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:24:06Z,1,09:12,10:48,Faceoff,n/a,69.0,-22.0,Lawson Crouse,Winner,Arizona Coyotes,Brayden Schenn,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:24:19Z,1,09:19,10:41,Blocked Shot,n/a,62.0,-15.0,Jaden Schwartz,Blocker,St. Louis Blues,Alex Goligoski,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:24:26Z,1,09:26,10:34,Giveaway,n/a,-46.0,31.0,Jaden Schwartz,PlayerID,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:25:08Z,1,10:08,09:52,Missed Shot,n/a,66.0,-14.0,Conor Garland,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:25:14Z,1,10:14,09:46,Giveaway,n/a,-71.0,38.0,Ilya Lyubushkin,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:25:36Z,1,10:35,09:25,Shot,Slap Shot,-50.0,-30.0,David Perron,Shooter,St. Louis Blues,Antti Raanta,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:28:02Z,1,10:36,09:24,Faceoff,n/a,-69.0,-22.0,Ryan O'Reilly,Winner,St. Louis Blues,Derek Stepan,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:28:23Z,1,11:11,08:49,Hit,n/a,96.0,-22.0,Carl Soderberg,Hitter,Arizona Coyotes,Oskar Sundqvist,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:28:57Z,1,11:45,08:15,Hit,n/a,51.0,-40.0,Mackenzie MacEachern,Hitter,St. Louis Blues,Alex Goligoski,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:44:47Z,1,12:00,08:00,Shot,Wrist Shot,-80.0,-1.0,Robert Thomas,Shooter,St. Louis Blues,Antti Raanta,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:29:54Z,1,12:42,07:18,Blocked Shot,n/a,-67.0,-4.0,Ilya Lyubushkin,Blocker,Arizona Coyotes,Alexander Steen,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:30:14Z,1,13:02,06:58,Shot,Backhand,77.0,-14.0,Taylor Hall,Shooter,Arizona Coyotes,Jake Allen,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:30:25Z,1,13:13,06:47,Blocked Shot,n/a,66.0,5.0,Jaden Schwartz,Blocker,St. Louis Blues,Oliver Ekman-Larsson,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:30:35Z,1,13:21,06:39,Shot,Wrist Shot,76.0,-1.0,Christian Dvorak,Shooter,Arizona Coyotes,Jake Allen,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:30:43Z,1,13:22,06:38,Shot,Wrist Shot,77.0,0.0,Christian Dvorak,Shooter,Arizona Coyotes,Jake Allen,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:30:46Z,1,13:34,06:26,Missed Shot,n/a,63.0,-4.0,Conor Garland,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:31:53Z,1,13:41,06:19,Faceoff,n/a,20.0,-22.0,Ryan O'Reilly,Winner,St. Louis Blues,Carl Soderberg,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:32:28Z,1,14:16,05:44,Shot,Wrist Shot,-81.0,1.0,Oskar Sundqvist,Shooter,St. Louis Blues,Antti Raanta,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:32:28Z,1,14:17,05:43,Shot,Wrist Shot,-79.0,3.0,Oskar Sundqvist,Shooter,St. Louis Blues,Antti Raanta,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:32:28Z,1,14:18,05:42,Shot,Wrist Shot,80.0,0.0,Oskar Sundqvist,Shooter,St. Louis Blues,Antti Raanta,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:32:28Z,1,14:19,05:41,Shot,Wrist Shot,-80.0,1.0,Oskar Sundqvist,Shooter,St. Louis Blues,Antti Raanta,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:32:41Z,1,14:20,05:40,Shot,Wrist Shot,80.0,0.0,Oskar Sundqvist,Shooter,St. Louis Blues,Antti Raanta,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:45:59Z,1,14:20,05:40,Faceoff,n/a,-69.0,22.0,Robert Thomas,Winner,St. Louis Blues,Christian Dvorak,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:35:16Z,1,14:34,05:26,Giveaway,n/a,-68.0,-2.0,Jordan Oesterle,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:35:49Z,1,14:53,05:07,Goal,Wrist Shot,-75.0,-2.0,Tyler Bozak,Scorer,St. Louis Blues,Alexander Steen,Assist,St. Louis Blues,Robert Thomas,Assist,St. Louis Blues,Antti Raanta,Goalie,Arizona Coyotes
2020-01-01T02:36:23Z,1,14:53,05:07,Faceoff,n/a,0.0,0.0,Brayden Schenn,Winner,St. Louis Blues,Derek Stepan,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:36:50Z,1,15:22,04:38,Blocked Shot,n/a,-84.0,8.0,Jordan Kyrou,Blocker,St. Louis Blues,Alex Goligoski,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:37:20Z,1,15:52,04:08,Shot,Wrist Shot,82.0,-6.0,Vinnie Hinostroza,Shooter,Arizona Coyotes,Jake Allen,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:37:25Z,1,15:57,04:03,Hit,n/a,98.0,0.0,Brad Richardson,Hitter,Arizona Coyotes,Justin Faulk,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
