Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-02T17:08:23Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Sidney Crosby,Winner,Pittsburgh Penguins,Connor McDavid,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:09:22Z,1,00:17,19:43,Shot,Wrist Shot,66.0,3.0,Jake Guentzel,Shooter,Pittsburgh Penguins,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:09:28Z,1,00:23,19:37,Shot,Wrist Shot,80.0,6.0,Jake Guentzel,Shooter,Pittsburgh Penguins,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:09:45Z,1,00:30,19:30,Hit,n/a,-94.0,-29.0,Zack Kassian,Hitter,Edmonton Oilers,Kris Letang,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:10:02Z,1,00:56,19:04,Shot,Snap Shot,-74.0,2.0,Jujhar Khaira,Shooter,Edmonton Oilers,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:10:24Z,1,00:57,19:03,Faceoff,n/a,-69.0,22.0,Teddy Blueger,Winner,Pittsburgh Penguins,Sam Gagner,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:10:38Z,1,01:05,18:55,Giveaway,n/a,-41.0,-39.0,Brandon Tanev,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:10:49Z,1,01:15,18:45,Missed Shot,n/a,78.0,8.0,Brandon Tanev,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:10:53Z,1,01:19,18:41,Hit,n/a,81.0,-38.0,Brandon Tanev,Hitter,Pittsburgh Penguins,Oscar Klefbom,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:11:22Z,1,01:49,18:11,Hit,n/a,-97.0,21.0,Gaetan Haas,Hitter,Edmonton Oilers,John Marino,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:11:45Z,1,02:02,17:58,Blocked Shot,n/a,79.0,25.0,Kris Russell,Blocker,Edmonton Oilers,Jared McCann,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:11:59Z,1,02:03,17:57,Faceoff,n/a,69.0,22.0,Colby Cave,Winner,Edmonton Oilers,Evgeni Malkin,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:12:17Z,1,02:08,17:52,Faceoff,n/a,20.0,22.0,Colby Cave,Winner,Edmonton Oilers,Evgeni Malkin,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:12:46Z,1,02:22,17:38,Takeaway,n/a,-77.0,-41.0,Markus Granlund,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:13:09Z,1,02:45,17:15,Takeaway,n/a,-35.0,18.0,Evgeni Malkin,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:14:09Z,1,03:45,16:15,Hit,n/a,98.0,-18.0,Zack Kassian,Hitter,Edmonton Oilers,Sidney Crosby,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:14:10Z,1,03:46,16:14,Shot,Snap Shot,57.0,8.0,Justin Schultz,Shooter,Pittsburgh Penguins,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:14:28Z,1,03:54,16:06,Takeaway,n/a,-92.0,-11.0,Marcus Pettersson,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:14:28Z,1,04:04,15:56,Shot,Wrist Shot,59.0,8.0,Teddy Blueger,Shooter,Pittsburgh Penguins,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:14:45Z,1,04:20,15:40,Hit,n/a,-34.0,-31.0,Justin Schultz,Hitter,Pittsburgh Penguins,Jujhar Khaira,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:14:53Z,1,04:29,15:31,Hit,n/a,-89.0,-28.0,Justin Schultz,Hitter,Pittsburgh Penguins,Jujhar Khaira,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:15:27Z,1,04:54,15:06,Faceoff,n/a,-69.0,22.0,Evgeni Malkin,Winner,Pittsburgh Penguins,Gaetan Haas,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:16:02Z,1,05:10,14:50,Hit,n/a,-35.0,41.0,Alex Chiasson,Hitter,Edmonton Oilers,Brian Dumoulin,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:16:03Z,1,05:12,14:48,Shot,Backhand,11.0,33.0,Patric Hornqvist,Shooter,Pittsburgh Penguins,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:16:13Z,1,05:22,14:38,Hit,n/a,-65.0,-1.0,Jack Johnson,Hitter,Pittsburgh Penguins,Alex Chiasson,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:16:26Z,1,05:35,14:25,Hit,n/a,41.0,-40.0,Nick Bjugstad,Hitter,Pittsburgh Penguins,Alex Chiasson,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:16:53Z,1,05:38,14:22,Faceoff,n/a,0.0,0.0,Markus Granlund,Winner,Edmonton Oilers,Nick Bjugstad,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:17:23Z,1,05:46,14:14,Shot,Wrist Shot,34.0,-37.0,Oscar Klefbom,Shooter,Edmonton Oilers,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:17:35Z,1,05:47,14:13,Faceoff,n/a,-69.0,-22.0,Connor McDavid,Winner,Edmonton Oilers,Sidney Crosby,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:17:49Z,1,05:57,14:03,Giveaway,n/a,-46.0,37.0,Jake Guentzel,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:18:11Z,1,06:19,13:41,Missed Shot,n/a,79.0,11.0,Sidney Crosby,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:18:24Z,1,06:27,13:33,Blocked Shot,n/a,60.0,-12.0,Oscar Klefbom,Blocker,Edmonton Oilers,Kris Letang,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:18:34Z,1,06:42,13:18,Hit,n/a,34.0,-40.0,Connor McDavid,Hitter,Edmonton Oilers,Dominik Simon,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:18:35Z,1,06:43,13:17,Shot,Slap Shot,63.0,29.0,Justin Schultz,Shooter,Pittsburgh Penguins,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:18:53Z,1,06:50,13:10,Giveaway,n/a,30.0,-5.0,Connor McDavid,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:19:09Z,1,07:17,12:43,Blocked Shot,n/a,49.0,25.0,Patrick Russell,Blocker,Edmonton Oilers,Marcus Pettersson,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:19:13Z,1,07:21,12:39,Hit,n/a,80.0,38.0,Patrick Russell,Hitter,Edmonton Oilers,Marcus Pettersson,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:19:19Z,1,07:27,12:33,Blocked Shot,n/a,67.0,-22.0,Markus Granlund,Blocker,Edmonton Oilers,Justin Schultz,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:21:32Z,1,07:37,12:23,Faceoff,n/a,20.0,22.0,Evgeni Malkin,Winner,Pittsburgh Penguins,Ryan Nugent-Hopkins,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:21:56Z,1,07:44,12:16,Hit,n/a,31.0,-42.0,Kris Russell,Hitter,Edmonton Oilers,Patric Hornqvist,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:22:08Z,1,07:44,12:16,Faceoff,n/a,-69.0,-22.0,Ryan Nugent-Hopkins,Winner,Edmonton Oilers,Evgeni Malkin,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:22:25Z,1,07:48,12:12,Shot,Wrist Shot,-37.0,23.0,Matt Benning,Shooter,Edmonton Oilers,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:22:35Z,1,07:49,12:11,Faceoff,n/a,-69.0,22.0,Evgeni Malkin,Winner,Pittsburgh Penguins,Ryan Nugent-Hopkins,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:23:09Z,1,08:06,11:54,Hit,n/a,-60.0,40.0,Jujhar Khaira,Hitter,Edmonton Oilers,Alex Galchenyuk,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:23:14Z,1,08:11,11:49,Hit,n/a,-39.0,-41.0,Kris Russell,Hitter,Edmonton Oilers,Patric Hornqvist,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:23:36Z,1,08:33,11:27,Hit,n/a,51.0,-41.0,Patric Hornqvist,Hitter,Pittsburgh Penguins,Darnell Nurse,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:23:59Z,1,08:57,11:03,Hit,n/a,-91.0,34.0,Marcus Pettersson,Hitter,Pittsburgh Penguins,James Neal,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:24:12Z,1,08:59,11:01,Hit,n/a,-64.0,41.0,Alex Chiasson,Hitter,Edmonton Oilers,Dominik Simon,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:24:05Z,1,09:03,10:57,Shot,Wrist Shot,-76.0,10.0,Gaetan Haas,Shooter,Edmonton Oilers,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:24:16Z,1,09:13,10:47,Blocked Shot,n/a,-76.0,-6.0,Justin Schultz,Blocker,Pittsburgh Penguins,Darnell Nurse,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:24:45Z,1,09:42,10:18,Shot,Tip-In,70.0,-4.0,Teddy Blueger,Shooter,Pittsburgh Penguins,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:24:54Z,1,09:52,10:08,Hit,n/a,-77.0,40.0,Kris Letang,Hitter,Pittsburgh Penguins,Connor McDavid,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:25:04Z,1,10:01,09:59,Missed Shot,n/a,82.0,15.0,Brandon Tanev,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:25:11Z,1,10:08,09:52,Shot,Wrist Shot,75.0,5.0,Teddy Blueger,Shooter,Pittsburgh Penguins,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:25:17Z,1,10:10,09:50,Shot,Wrist Shot,51.0,-3.0,Brandon Tanev,Shooter,Pittsburgh Penguins,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:27:27Z,1,10:11,09:49,Faceoff,n/a,69.0,22.0,Colby Cave,Winner,Edmonton Oilers,Jared McCann,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:28:00Z,1,10:28,09:32,Giveaway,n/a,-27.0,-20.0,John Marino,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:28:04Z,1,10:39,09:21,Blocked Shot,n/a,69.0,-16.0,Oscar Klefbom,Blocker,Edmonton Oilers,Nick Bjugstad,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:28:24Z,1,10:40,09:20,Faceoff,n/a,69.0,-22.0,Ryan Nugent-Hopkins,Winner,Edmonton Oilers,Evgeni Malkin,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:28:52Z,1,10:58,09:02,Blocked Shot,n/a,55.0,0.0,Sam Gagner,Blocker,Edmonton Oilers,Patric Hornqvist,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:29:04Z,1,10:58,09:02,Shot,Tip-In,82.0,7.0,Evgeni Malkin,Shooter,Pittsburgh Penguins,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:29:29Z,1,10:59,09:01,Shot,Backhand,80.0,5.0,Evgeni Malkin,Shooter,Pittsburgh Penguins,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:29:37Z,1,11:00,09:00,Faceoff,n/a,69.0,22.0,Connor McDavid,Winner,Edmonton Oilers,Sidney Crosby,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:30:24Z,1,11:45,08:15,Missed Shot,n/a,-43.0,22.0,Ethan Bear,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:30:35Z,1,11:56,08:04,Giveaway,n/a,-46.0,-40.0,Kris Letang,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:31:09Z,1,12:31,07:29,Giveaway,n/a,-73.0,-35.0,Justin Schultz,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:31:25Z,1,12:46,07:14,Takeaway,n/a,-44.0,34.0,Zach Aston-Reese,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:31:42Z,1,13:03,06:57,Hit,n/a,-49.0,40.0,Matt Benning,Hitter,Edmonton Oilers,Nick Bjugstad,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:31:49Z,1,13:10,06:50,Missed Shot,n/a,-73.0,-34.0,Kris Russell,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:31:56Z,1,13:18,06:42,Shot,Wrist Shot,-39.0,28.0,Matt Benning,Shooter,Edmonton Oilers,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:32:10Z,1,13:21,06:39,Hit,n/a,-47.0,41.0,Nick Bjugstad,Hitter,Pittsburgh Penguins,Matt Benning,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:32:11Z,1,13:32,06:28,Blocked Shot,n/a,-51.0,-18.0,Jack Johnson,Blocker,Pittsburgh Penguins,Colby Cave,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:32:21Z,1,13:42,06:18,Hit,n/a,94.0,26.0,Alex Galchenyuk,Hitter,Pittsburgh Penguins,Ethan Bear,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:32:50Z,1,14:12,05:48,Missed Shot,n/a,-68.0,-10.0,Darnell Nurse,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:35:02Z,1,14:27,05:33,Faceoff,n/a,-20.0,-22.0,Ryan Nugent-Hopkins,Winner,Edmonton Oilers,Jared McCann,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:35:33Z,1,14:38,05:22,Hit,n/a,-97.0,1.0,Sam Gagner,Hitter,Edmonton Oilers,Marcus Pettersson,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:35:40Z,1,14:46,05:14,Hit,n/a,-89.0,35.0,Sam Gagner,Hitter,Edmonton Oilers,Jared McCann,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:35:45Z,1,14:51,05:09,Shot,Wrist Shot,68.0,-31.0,Jared McCann,Shooter,Pittsburgh Penguins,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:36:07Z,1,15:11,04:49,Shot,Snap Shot,-65.0,10.0,Zack Kassian,Shooter,Edmonton Oilers,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:36:29Z,1,15:12,04:48,Faceoff,n/a,-69.0,22.0,Sidney Crosby,Winner,Pittsburgh Penguins,Leon Draisaitl,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:37:46Z,1,16:15,03:45,Faceoff,n/a,0.0,0.0,Gaetan Haas,Winner,Edmonton Oilers,Teddy Blueger,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:38:13Z,1,16:26,03:34,Hit,n/a,79.0,-38.0,Zach Aston-Reese,Hitter,Pittsburgh Penguins,Kris Russell,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:38:21Z,1,16:35,03:25,Shot,Snap Shot,81.0,30.0,Zach Aston-Reese,Shooter,Pittsburgh Penguins,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:38:32Z,1,16:46,03:14,Shot,Slap Shot,37.0,27.0,Jack Johnson,Shooter,Pittsburgh Penguins,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:38:40Z,1,16:54,03:06,Takeaway,n/a,44.0,17.0,Teddy Blueger,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:38:41Z,1,16:54,03:06,Shot,Wrist Shot,46.0,15.0,Teddy Blueger,Shooter,Pittsburgh Penguins,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:38:52Z,1,16:56,03:04,Hit,n/a,91.0,-31.0,Brandon Tanev,Hitter,Pittsburgh Penguins,Kris Russell,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:38:53Z,1,17:03,02:57,Shot,Wrist Shot,-13.0,39.0,Alex Chiasson,Shooter,Edmonton Oilers,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:39:44Z,1,17:55,02:05,Shot,Wrist Shot,-80.0,0.0,Patrick Russell,Shooter,Edmonton Oilers,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:40:11Z,1,17:56,02:04,Faceoff,n/a,-69.0,-22.0,Ryan Nugent-Hopkins,Winner,Edmonton Oilers,Nick Bjugstad,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:41:04Z,1,18:41,01:19,Hit,n/a,95.0,-28.0,Darnell Nurse,Hitter,Edmonton Oilers,Jared McCann,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:41:35Z,1,19:11,00:49,Shot,Wrist Shot,16.0,37.0,Brian Dumoulin,Shooter,Pittsburgh Penguins,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:41:41Z,1,19:17,00:43,Blocked Shot,n/a,-71.0,8.0,Kris Letang,Blocker,Pittsburgh Penguins,Zack Kassian,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:41:57Z,1,19:33,00:27,Missed Shot,n/a,68.0,-1.0,Dominik Simon,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:42:08Z,1,19:43,00:17,Takeaway,n/a,79.0,-13.0,Jake Guentzel,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:42:10Z,1,19:44,00:16,Shot,Snap Shot,41.0,-17.0,Kris Letang,Shooter,Pittsburgh Penguins,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:42:36Z,1,19:45,00:15,Faceoff,n/a,69.0,-22.0,Evgeni Malkin,Winner,Pittsburgh Penguins,Colby Cave,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:42:48Z,1,19:51,00:09,Shot,Backhand,83.0,-29.0,Alex Galchenyuk,Shooter,Pittsburgh Penguins,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T17:43:05Z,1,19:52,00:08,Faceoff,n/a,69.0,-22.0,Evgeni Malkin,Winner,Pittsburgh Penguins,Colby Cave,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T18:02:03Z,2,00:00,20:00,Faceoff,n/a,0.0,0.0,Connor McDavid,Winner,Edmonton Oilers,Sidney Crosby,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T18:02:17Z,2,00:09,19:51,Blocked Shot,n/a,-68.0,-8.0,Darnell Nurse,Blocker,Edmonton Oilers,Dominik Simon,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T18:02:26Z,2,00:10,19:50,Faceoff,n/a,-69.0,-22.0,Sidney Crosby,Winner,Pittsburgh Penguins,Connor McDavid,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T18:03:00Z,2,00:34,19:26,Shot,Tip-In,-76.0,1.0,Dominik Simon,Shooter,Pittsburgh Penguins,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T18:03:21Z,2,00:55,19:05,Takeaway,n/a,-66.0,40.0,Connor McDavid,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T18:03:50Z,2,01:04,18:56,Faceoff,n/a,69.0,22.0,Ryan Nugent-Hopkins,Winner,Edmonton Oilers,Teddy Blueger,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T18:04:08Z,2,01:19,18:41,Missed Shot,n/a,66.0,-12.0,Sam Gagner,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T18:04:18Z,2,01:29,18:31,Hit,n/a,54.0,-39.0,Jujhar Khaira,Hitter,Edmonton Oilers,Zach Aston-Reese,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T18:04:52Z,2,02:03,17:57,Giveaway,n/a,23.0,-18.0,Zach Aston-Reese,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T18:04:56Z,2,02:07,17:53,Blocked Shot,n/a,63.0,-8.0,Marcus Pettersson,Blocker,Pittsburgh Penguins,James Neal,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T18:05:11Z,2,02:20,17:40,Shot,Snap Shot,55.0,1.0,Alex Chiasson,Shooter,Edmonton Oilers,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T18:06:05Z,2,02:21,17:39,Faceoff,n/a,69.0,22.0,Nick Bjugstad,Winner,Pittsburgh Penguins,Gaetan Haas,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T18:07:10Z,2,03:17,16:43,Takeaway,n/a,97.0,-9.0,James Neal,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T18:07:21Z,2,03:28,16:32,Hit,n/a,-21.0,42.0,Darnell Nurse,Hitter,Edmonton Oilers,Dominik Simon,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T18:07:33Z,2,03:40,16:20,Missed Shot,n/a,52.0,18.0,Ethan Bear,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T18:08:00Z,2,03:50,16:10,Faceoff,n/a,69.0,22.0,Connor McDavid,Winner,Edmonton Oilers,Sidney Crosby,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T18:08:59Z,2,04:07,15:53,Faceoff,n/a,-69.0,-22.0,Zach Aston-Reese,Winner,Pittsburgh Penguins,Connor McDavid,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T18:09:27Z,2,04:28,15:32,Hit,n/a,-91.0,-32.0,Brandon Tanev,Hitter,Pittsburgh Penguins,Oscar Klefbom,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T18:09:30Z,2,04:31,15:29,Shot,Snap Shot,-78.0,-28.0,Teddy Blueger,Shooter,Pittsburgh Penguins,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T18:09:50Z,2,04:40,15:20,Takeaway,n/a,-98.0,16.0,Joel Persson,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T18:10:07Z,2,05:07,14:53,Blocked Shot,n/a,-76.0,-6.0,Oscar Klefbom,Blocker,Edmonton Oilers,Bryan Rust,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T18:10:17Z,2,05:17,14:43,Giveaway,n/a,-73.0,-39.0,Marcus Pettersson,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
